,n_voters,n_cands,n_issues,voters_p,cands_p,app_k,app_thresh,intensity_dist,election_rules,n_reps,default_style,delegation_style,best_k,n_delegators,intensities,mean,variance,skew,kurtosis
46,100,60,200,None,0.7,100,0.5,uniform,irv,21,uniform,incisive,None,None,True,0.53674,0.0372476624,0.23731431742440948,-0.8048319329680389
47,100,60,200,None,0.7,100,0.5,uniform,max_agreement,21,uniform,incisive,None,None,True,0.5619304999999999,0.03122507066975,0.2884863472576154,-0.7272289825785694
48,100,60,200,None,0.7,100,0.5,uniform,random_winners,21,uniform,incisive,None,None,True,0.5304420000000001,0.03813885963600001,0.24484762629814907,-0.8208697266978779
49,100,60,200,None,0.8,100,0.5,uniform,max_approval,21,uniform,incisive,None,None,True,0.5059705,0.05017256562975,0.08268294565668276,-0.903850958342848
50,100,60,200,None,0.8,100,0.5,uniform,borda,21,uniform,incisive,None,None,True,0.5117185,0.047800844257750004,0.11220804492127412,-0.8974843929314473
51,100,60,200,None,0.8,100,0.5,uniform,plurality,21,uniform,incisive,None,None,True,0.5057225000000001,0.05028011549375,0.07935887322173371,-0.9036832553168717
52,100,60,200,None,0.8,100,0.5,uniform,rav,21,uniform,incisive,None,None,True,0.5064635000000001,0.04985383066775,0.09047788634806496,-0.9140958173954936
53,100,60,200,None,0.8,100,0.5,uniform,irv,21,uniform,incisive,None,None,True,0.5057020000000001,0.050228477196,0.08420999810824752,-0.910958435572351
54,100,60,200,None,0.8,100,0.5,uniform,max_agreement,21,uniform,incisive,None,None,True,0.5122525,0.04764532874375,0.1133534307087434,-0.8980346234360992
55,100,60,200,None,0.8,100,0.5,uniform,random_winners,21,uniform,incisive,None,None,True,0.504444,0.050634750864,0.07946253117508248,-0.9042971015339689
56,100,60,200,None,0.9,100,0.5,uniform,max_approval,21,uniform,incisive,None,None,True,0.49348000000000003,0.0544944346,0.0012759863952042944,-0.8999322133357293
